date,VV_Event,VH_Event,VV_Base,VH_Base,VV_Change,VH_Change,image_count
2025-06-02,-10.293458217419584,-16.505387509455378,-10.406018594315888,-18.055368127156928,0.1125603768963046,1.54998061770155,4
2025-06-12,-9.36634468887988,-21.92514845135515,-9.495100572796701,-22.174321143446058,0.12875588391682236,0.24917269209090875,2
2025-06-22,-13.570618733096847,-22.123883300039978,-10.721085957013598,-19.38153203252271,-2.849532776083249,-2.742351267517268,6
2025-07-02,-15.790322857874617,-14.321262375640893,-15.328761604983274,-14.814297936545724,-0.4615612528913431,0.4930355609048309,1
2025-07-12,-12.566236281433179,-18.4495327159611,-13.079811626656486,-18.24126045674927,0.5135753452233072,-0.20827225921183157,5
2025-07-22,-9.934836268498046,-14.662986173674565,-10.346797389206305,-15.37744701346909,0.4119611207082592,0.7144608397945262,4
2025-08-01,-12.893726966054741,-16.115529695525844,-11.592871669824865,-16.733283876774394,-1.3008552962298765,0.6177541812485501,4
2025-08-11,-11.644385867889975,-17.43266180182751,-12.002601117249432,-16.99303189859196,0.35821524935945703,-0.4396299032355522,4
2025-08-21,-11.353475210094011,-14.912198700343076,-11.343447588431527,-15.213012349452233,-0.010027621662484165,0.3008136491091573,1
2025-08-31,-12.128897934551603,-15.571044642791964,-13.06604440030707,-15.897399142730746,0.9371464657554682,0.3263544999387822,7
2025-09-10,-13.877749325535191,-18.191253549164745,-13.717181885412279,-17.16135139517537,-0.16056744012291269,-1.0299021539893758,3
2025-09-20,-10.679246960149696,-18.439158502840446,-10.506318976759758,-17.912927150595078,-0.17292798338993798,-0.5262313522453681,6
2025-09-30,-12.402378399513772,-14.201127600558857,-12.14370700536277,-14.516228937397216,-0.25867139415100127,0.3151013368383584,3
