date,S1_VV_CURR,S1_VH_CURR,S1_VV_LOGRATIO_DB,S1_VH_LOGRATIO_DB,S1_VH_VV_CURR,S1_VH_VV_DIFF,S1_VH_VV_BASE,S1_VH_STD,image_count
2025-06-03,0.03685069712040134,0.01058074306165159,-0.5831086385129023,-0.9800171921715908,0.287124637753294,-0.027477243762862036,0.31460188151615603,0.9165182090641802,6
2025-06-13,0.05891296183503098,0.017655424833061362,0.2863916617623481,-0.503369400096993,0.2996865932916489,-0.05976748970144524,0.3594540829930941,1.7290954562510896,2
2025-06-23,0.06550828530193596,0.018350268771674443,0.2078146045617153,-0.20232312071958702,0.2801213417065603,-0.027743411559549735,0.30786475326611,1.7518716702599846,7
2025-07-03,0.04397922409964242,0.01492500418335654,-0.8030318302159714,0.2548211056271832,0.3393648816891677,0.07336490114629401,0.26599998054287366,1.3454975321857483,3
2025-07-13,0.10662661298899706,0.01161227034094629,0.20311834680132002,-0.4883614485394716,0.10890592897426625,-0.018796601619435208,0.12770253059370146,0.5646862852479139,5
2025-07-23,0.05917425453881734,0.010702697536672238,0.4960218939951684,-0.42291612848386606,0.18086746711192525,-0.04262055859234265,0.2234880257042679,0.9571464308873407,7
2025-08-02,0.06658240150913387,0.01643456300254751,-0.49410502556961156,0.5919774419866606,0.24683043311817152,0.054614024536594724,0.1922164085815768,0.7882531755954968,3
2025-08-12,0.06791650001162793,0.01748336664824988,-0.4989942889510832,-1.0242887152158069,0.257424435082146,-0.03309768916210992,0.29052212424425594,1.4057487371732438,5
2025-08-22,0.026046401181701213,0.011533873420086847,-0.43903447360756687,-1.4880460308216108,0.4428202322319262,-0.12098436280938801,0.5638045950413142,1.4078922004204568,1
2025-09-01,0.06788604476048697,0.01768932524304842,-0.40020985105298124,-0.9104686555087511,0.260573808732844,-0.03248625614761241,0.29306006488045644,1.9888748454356253,1
2025-09-11,0.07262392553012062,0.011114560923298418,0.3308545028239074,-0.8436740437153887,0.15304269002491028,-0.04752706558111339,0.20056975560602366,0.5104878215235539,6
2025-09-21,0.038319747993854895,0.01281860505992397,-2.332982320566357,-1.3236036159869755,0.3345169457267728,0.06937389290044965,0.26514305282632317,1.8089689915181086,6
2025-10-01,0.05440571904846953,0.013073428531651074,-0.0662485451648962,0.5277446305583204,0.2402951152985237,0.030717147418362567,0.20957796788016114,1.7540337755984885,7
